Listing_ID;Last_scraped;Source;Host_ID;Host_since;host_location;Aux.;Host_Location2;Host_response_time;Host_response_rate;Host_response_rate_num;Host_acceptance_rate;Host_acceptance_rate_num;host_is_superhost;Superhost;Superhost2;Host_listings_count;Host_total_listings_count;host_verifications;Host_verification;Host_identity_verified;Host_identity_verified2;Neighbourhood_group_cleansed;Property_type;Room_type;Num. Accommodates;Bathrooms_initial;Num. Bathrooms;Bathrooms_text;Shared_bathrooms;Bedrooms_initial;Beds_initial;Price;Price_€;minimum_nights;minimum_night_category;maximum_nights;maximum_nights_category;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;anual_availability;calendar_last_scraped;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;availability_eoy;number_of_reviews_ly;first_review;last_review;review_scores_rating_ininitial;Review_scores_rating2;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;Instant_bookable2;calculated_host_listings_count;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms;reviews_per_month
6,76749E+17;09/03/2025;previous scrape;434430665;02/12/2021;;0;Unknown;N/A;N/A;;N/A;;f;f;False;1;1;phone;phone;f;False;Arganzuela;Private room in rental unit;Private room;2;;0;1.5 shared baths;Shared;;;;;5;Short stay;365;Long stay (up to 1 year);5;5;365;365;50;3650;;;0;0;0;0;Not available;09/03/2025;2;0;0;0;0;22/08/2022;31/08/2022;50;0,5;50;45;50;50;50;50;f;False;1;0;1;0;6
6,76782E+17;07/03/2025;previous scrape;464935101;18/06/2022;;0;Unknown;N/A;N/A;;N/A;;f;f;False;1;3;phone;phone;t;True;Tetuán;Private room in rental unit;Private room;2;;0;1 private bath;Private;;;;;1;Very short stay;365;Long stay (up to 1 year);1;1;365;365;10;3650;;t;0;0;0;0;Not available;07/03/2025;14;0;0;0;0;31/07/2022;08/12/2022;493;4,93;50;493;50;493;486;50;t;True;1;0;1;0;44
6,83786E+17;12/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Tetuán;Entire condo;Entire home/apt;2;10;1;1 bath;Private;1;2;$78.00;78,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;1;1;1;1;Low availability;12/03/2025;0;0;0;0;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,83789E+17;09/03/2025;previous scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Moncloa - Aravaca;Entire condo;Entire home/apt;4;;0;2 baths;Private;2;;;;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;0;0;0;221;High availability;09/03/2025;0;0;0;154;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,83792E+17;11/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Centro;Entire condo;Entire home/apt;2;10;1;1 bath;Private;0;1;$46.00;46,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;29;59;89;364;High availability;11/03/2025;0;0;0;295;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,83798E+17;06/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Arganzuela;Entire condo;Entire home/apt;2;10;1;1 bath;Private;1;1;$60.00;60,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;0;5;35;310;High availability;06/03/2025;0;0;0;246;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,838E+17;08/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Centro;Entire condo;Entire home/apt;2;10;1;1 bath;Private;1;1;$69.00;69,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;0;0;0;251;High availability;08/03/2025;0;0;0;185;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,83802E+17;10/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Centro;Entire condo;Entire home/apt;4;20;2;2 baths;Private;2;2;$87.00;87,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;0;0;8;283;High availability;10/03/2025;0;0;0;215;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,83817E+17;06/03/2025;city scrape;1408525;15/11/2011;Madrid, Spain;1;Spain;within an hour;95%;0,95;99%;0,99;f;f;False;72;107;phone;phone;t;True;Centro;Entire rental unit;Entire home/apt;4;10;1;1 bath;Private;1;1;$99.00;99,00;3;Very short stay;365;Long stay (up to 1 year);2;3;365;365;30;3650;;t;9;24;54;134;Medium availability;06/03/2025;65;29;4;134;28;23/08/2022;25/02/2025;462;4,62;471;472;472;468;495;457;t;True;68;68;0;0;210
6,83875E+17;05/03/2025;city scrape;438136382;30/12/2021;Madrid, Spain;1;Spain;within a day;92%;0,92;46%;0,46;f;f;False;467;552;email, phone;email, phone;t;True;Tetuán;Entire rental unit;Entire home/apt;2;10;1;1 bath;Private;1;1;$98.00;98,00;1;Very short stay;365;Long stay (up to 1 year);30;30;365;365;300;3650;;t;29;59;89;364;High availability;05/03/2025;1;1;0;301;1;22/11/2024;22/11/2024;40;0,4;50;40;40;50;50;40;f;False;334;334;0;0;29
6,83929E+17;07/03/2025;city scrape;472716837;01/08/2022;Madrid, Spain;1;Spain;within an hour;100%;1,00;99%;0,99;f;f;False;1;1;email, phone;email, phone;t;True;Arganzuela;Private room in rental unit;Private room;1;10;1;1 shared bath;Shared;2;1;$28.00;28,00;2;Very short stay;30;Medium stay (up to 3 months);1;2;1125;1125;13;11250;;t;4;4;4;5;Low availability;07/03/2025;185;78;6;4;80;05/08/2022;02/03/2025;463;4,63;466;448;48;483;488;46;f;False;1;0;1;0;587
6,76788E+17;09/03/2025;previous scrape;415044723;25/07/2021;;0;Unknown;N/A;N/A;;N/A;;f;f;False;1;1;phone;phone;f;False;Fuencarral - El Pardo;Private room in rental unit;Private room;1;;0;1 shared bath;Shared;;;;;1;Very short stay;365;Long stay (up to 1 year);1;1;365;365;10;3650;;;0;0;0;0;Not available;09/03/2025;1;0;0;0;0;31/08/2022;31/08/2022;50;0,5;50;50;50;50;50;50;f;False;1;0;1;0;3
